A,B,pmax_B|A,pmax_A|B
P07,P09,0.4319975990709448,0.9921969805707425
P08,P09,0.43058835810378804,0.9941847062558989
H10,P09,0.42374658019842465,0.9984994193405273
H08,P09,0.4237465801984246,0.9816537703720135
H10,CH07,0.30965460547777185,0.9984994193405274
H08,CH07,0.30958066382208765,0.9816537703720135
H08,Region,0.28579319823757887,0.9816537703720136
P08,Region,0.2818090478489502,0.993097328966426
H10,Region,0.28176555275737136,0.9984994193405274
P07,Region,0.2817655527573713,0.9882693738011665
