feature_or_group,n_cols,base_score,importance_mean,importance_std,base_mae,imp_mae_mean,imp_mae_std,model
Personas_65+,1,0.5118966600973331,0.002477494655678003,0.00016148009831445828,0.19776913543762892,0.0009209374724406676,4.544054682604929e-05,Linear_best
TRIMESTRE,1,0.5118966600973331,0.0021384498311659487,0.0001892413475172228,0.19776913543762892,0.0005195256133802433,4.101788617941453e-05,Linear_best
Max_Nivel_Educativo,1,0.5118966600973331,0.0018943211010764719,0.0001304324793715671,0.19776913543762892,0.0003902112703612348,4.264122373756889e-05,Linear_best
Personas_18-24,1,0.5118966600973331,0.001698392555123355,0.00013591250671363505,0.19776913543762892,0.00031843722507817845,3.598886732538018e-05,Linear_best
Personas_0-3,1,0.5118966600973331,0.0015719319629437511,0.00018070609751899208,0.19776913543762892,0.00043167942617309364,4.06126417208244e-05,Linear_best
H16,1,0.5118966600973331,0.0006208770744670263,7.861187440668775e-05,0.19776913543762892,0.00011297455437792684,1.5867779747092072e-05,Linear_best
P05,1,0.5118966600973331,0.0005724945629534776,7.60514044462787e-05,0.19776913543762892,0.0001571646855638607,1.4967049507151302e-05,Linear_best
V01,1,0.5118966600973331,0.00048694753718730256,9.309995538472074e-05,0.19776913543762892,7.195356258922573e-05,2.3512631582104908e-05,Linear_best
Personas_13-17,1,0.5118966600973331,0.00027457640373672597,6.314307187203506e-05,0.19776913543762892,0.00011285063821067642,1.905068845983671e-05,Linear_best
Reg_rk,1,0.5118966600973331,0.0002090769371327239,3.739797241784052e-05,0.19776913543762892,4.266447186371536e-05,1.0914457503782816e-05,Linear_best
H15,1,0.5118966600973331,0.00013550346147811476,3.800803264273033e-05,0.19776913543762892,6.858389981271122e-05,1.0151017860517456e-05,Linear_best
ESTRUCTURA_LABORAL,3,0.6094090399294487,0.4652259933733089,0.003421777733011259,0.17336877880176377,0.0900710434422228,0.0004791159623505722,HGB_best
P03,1,0.6094090399294487,0.17691294025160248,0.0014282911938733375,0.17336877880176377,0.037987089073173316,0.00027288106135322517,HGB_best
CALIDAD_LABORAL,1,0.6094090399294487,0.09717497676109135,0.0008564924936309934,0.17336877880176377,0.0207801004624426,0.00017180305574550342,HGB_best
EDUCACION,2,0.6094090399294487,0.0756753927200816,0.0011271368168589819,0.17336877880176377,0.019068647527061958,0.0002522739489891423,HGB_best
P02,1,0.6094090399294487,0.05504929608815498,0.000779840655156153,0.17336877880176377,0.013440136117013713,0.00020629255540981098,HGB_best
ANO4,1,0.6094090399294487,0.028153215023109277,0.0005552157701586067,0.17336877880176377,0.008101798468197146,0.00015741609475998175,HGB_best
